,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,expected_ir,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
3047,8210,1,blkTestCatAAp,58,2,800,Avoid,1,567,Explicit,s.250c6762-5ba7-45e7-9bdc-ef6c963d2695.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1635,R_3nUTQ4lPllY2hJw,69,Male,Male,Black or African American alone,Absolutely not true,Moderate,36116,Other,jX4hF6SLcG,91,4,6.0,5,5,5,5,75,1,5.0,3,4,3,2,3,4,3,2,4,4,3,4,3,4,3,2,4,2,3,3,4,5,3,4,Everything was straight and to the point.,I was a bit confused about the pictures identifying black or white individuals. Did not understand the motive since it was based on how fast you must identify and respond with the correct answer. ,0.6,0.925,black,female,4256.0,4615.0,5122.0,4442.0,0.0,9057.0,9378.0,0.0,472.8888888888889,512.7777777777778,512.2,493.55555555555554,0.0,503.1666666666667,493.57894736842104,0.0,3.75,4.0,3.25,3.25,2.5
3084,8310,1,blkTestCatAAp,26,1,900,Approach,1,805,Explicit,s.600e1f22-39a1-4eaf-976c-cc09dfca7168.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,936,R_A4zOq2aCcOYNAB3,44,Female,Female,Black or African American alone,Absolutely not true,Moderate,29615,Other,NBfUwEew8L,78,4,6.0,5,3,5,5,50,5,6.0,All,All,All,3,1,5,3,2,4,1,4,5,3,5,2,5,4,2,5,3,4,3,3,5,"Not really, no.",No additional comments.,0.6,1.0,white,male,8757.0,7549.0,7929.0,7834.0,0.0,15383.0,16686.0,0.0,875.7,754.9,792.9,783.4,0.0,769.15,834.3,0.0,4.75,3.75,1.75,4.5,2.5
3124,8410,1,blkTestCatAAp,37,1,1400,Approach,1,614,Explicit,s.743371d6-072f-4c26-bba0-89463a5fa392.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1185,R_12RUM9hw1d4nLh8,57,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,78660,Other,ZrZLwv9NVN,46,5,3.0,None,None,None,2,43,5,4.0,3,3,5,2,1,2,2,1,2,4,4,5,3,4,3,2,4,2,4,5,3,5,5,5,Nothing was unclear in this study.,"In response to your question(s) using the ""feelometer"", I am a 
Capricorn, so everyone gets on my nerves in some way at some point.",0.6,0.975,white,female,6742.0,6707.0,7605.0,6210.0,0.0,12917.0,14347.0,0.0,749.1111111111111,670.7,760.5,621.0,0.0,645.85,755.1052631578947,0.0,3.75,4.0,3.25,2.75,2.75
3163,8510,1,blkTestCatAAp,59,2,1700,Avoid,1,938,Explicit,s.4deba535-4c6c-4c95-9f11-3b2711614eac.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1271,R_1hPQv2ZAwIuSXTk,64,Female,Female,Black or African American alone,Absolutely not true,Liberal,36701,Other,zZKVKLsA83,97,1,7.0,All,None,All,All,91,1,6.0,None,None,None,None,1,4,4,1,3,2,5,4,2,3,2,4,4,2,3,2,5,3,2,3,The question/statement about excluding groups.,no,0.6,0.925,black,female,6822.0,6835.0,7469.0,8963.0,0.0,15798.0,14291.0,0.0,682.2,854.375,746.9,995.8888888888889,0.0,929.2941176470588,714.55,0.0,3.0,3.75,1.75,4.5,1.75
3200,8610,1,blkTestCatAAp,55,2,1700,Avoid,1,841,Explicit,s.33482694-569f-4b2e-b709-e41f60f82b5f.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1238,R_11hkL8mq3qEkgK4,57,Female,Female,Black or African American alone,Absolutely not true,Liberal,10550,Health care,GWsdWZvzfg,84,3,6.0,4,3,All,5,43,3,5.0,None,4,None,None,1,4,3,3,4,2,4,3,3,4,2,4,4,3,4,2,4,3,4,4,the questions about excluding item 1 neighbor etc.  Very confusing ,Interested in what the speed of pressing the keys measured in this study,0.6,1.0,black,male,7205.0,7153.0,6449.0,7428.0,0.0,14581.0,13654.0,0.0,720.5,715.3,644.9,742.8,0.0,729.05,682.7,0.0,4.0,3.25,1.75,4.0,3.25
3240,8710,1,blkTestCatAAp,41,1,1800,Approach,1,526,Explicit,s.bc972955-bf32-4188-a190-e9e3cefc2ba2.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1682,R_2uwvI0HjEpWFiE7,77,Female,Female,Black or African American alone,Absolutely not true,Moderate,19801,Other,j4hnatBmGv,100,1,6.0,3,3,2,2,80,4,6.0,3,3,2,2,2,4,3,1,3,3,4,5,1,3,3,4,5,2,4,3,4,5,2,4,Yes . . . Don't have a clue as to what the first two sections were about!!,No.,0.6,0.95,white,female,6876.0,5214.0,7735.0,5845.0,0.0,11059.0,14611.0,0.0,687.6,651.75,773.5,584.5,0.0,614.3888888888889,730.55,0.0,3.5,4.5,2.75,4.0,1.5
3278,8810,1,blkTestCatAAp,61,2,800,Avoid,1,1485,Explicit,s.741ae9ae-4cda-4117-bdde-91e8d1e4c709.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1073,R_2zcGjvvS1oQqFQu,66,Female,Female,Black or African American alone,Absolutely not true,Liberal,27573,Other,L7pWuQkkJc,81,3,4.0,4,5,All,3,82,2,4.0,3,All,4,None,2,4,4,1,4,3,2,4,2,4,2,2,4,2,4,2,3,4,2,5,no,no,0.6,1.0,black,female,8307.0,7000.0,8227.0,7869.0,0.0,14869.0,16534.0,0.0,830.7,700.0,822.7,786.9,0.0,743.45,826.7,0.0,4.25,4.0,2.25,2.75,1.75
3318,8910,1,blkTestCatAAp,39,1,2000,Approach,1,497,Explicit,s.239533a1-a636-41f8-9735-9a51eb8836da.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1113,R_2RPLTCpthEKaaWq,73,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,97006,Other,V5tf4xfryn,100,1,7.0,2,2,None,None,85,1,7.0,5,3,All,All,1,4,4,1,3,1,3,5,5,5,2,3,4,1,5,2,4,5,1,5,Nothing,,0.6,1.0,white,female,8511.0,7530.0,6563.0,8039.0,0.0,15569.0,15074.0,0.0,851.1,753.0,656.3,803.9,0.0,778.45,753.7,0.0,4.5,4.5,1.5,3.5,2.0
3358,9010,1,blkTestCatAAp,39,1,1100,Approach,1,549,Explicit,s.3a29f96f-70fb-4a44-9ec7-08ffb5be8435.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1079,R_25A8mFw9ORiwZcx,32,Female,Female,Black or African American alone,Absolutely not true,Strongly conservative,23228,Other,BeGCnsYDpd,50,2,6.0,All,All,5,4,50,1,6.0,5,5,3,3,2,3,3,1,5,3,2,5,2,3,2,2,4,3,4,3,3,5,2,5,No,No,0.6,1.0,white,female,7135.0,6739.0,6264.0,6449.0,0.0,13188.0,13399.0,0.0,713.5,673.9,626.4,644.9,0.0,659.4,669.95,0.0,4.25,4.25,2.5,2.5,2.0
3398,9110,1,blkTestCatAAp,53,2,1100,Avoid,1,900,Explicit,s.e42463a7-8fc8-4ff7-9803-0bd5bce4f6a0.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,826,R_3dRkYeawXY8lxrl,47,Male,Male,Black or African American alone,Absolutely not true,Liberal,47130,Information services,TJ3h2hPkf5,90,2,6.0,4,4,All,All,50,4,4.0,4,4,None,None,1,5,3,1,4,2,3,3,2,3,3,4,4,2,3,3,4,5,3,4,nothing,good survey,0.6,1.0,black,male,7959.0,9267.0,7803.0,8541.0,0.0,17808.0,15762.0,0.0,795.9,926.7,780.3,854.1,0.0,890.4,788.1,0.0,3.5,3.75,2.25,4.0,2.0
3438,9210,1,blkTestCatAAp,53,2,1900,Avoid,1,913,Explicit,s.95e22ffe-e8ce-4003-b129-0a67d30eeec0.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1447,R_2b3gPKWT3a0NY84,65,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,92345,Other,Ffh7sgGO95,50,2,2.0,2,None,2,2,80,2,5.0,5,None,5,5,1,4,3,3,4,2,3,4,4,3,1,4,3,3,3,2,3,3,3,4,no,no,0.6,1.0,black,male,6598.0,7777.0,6619.0,7972.0,0.0,15749.0,13217.0,0.0,659.8,777.7,661.9,797.2,0.0,787.45,660.85,0.0,3.5,3.25,1.5,3.5,3.25
3478,9310,1,blkTestCatAAp,58,2,1800,Avoid,1,1788,Explicit,s.9ca9206f-ed31-4477-888a-e7ba5c8fcb17.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1118,R_2BkAwM2NPxAq3G8,67,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,75040,Other,Njq5HwmhrQ,91,3,6.0,3,3,3,3,93,2,6.0,4,4,4,4,3,4,4,2,3,3,2,3,2,3,4,4,4,2,3,4,3,4,2,4,no,no,0.6,1.0,black,female,8044.0,11949.0,7569.0,13751.0,0.0,25700.0,15613.0,0.0,804.4,1194.9,756.9,1375.1,0.0,1285.0,780.65,0.0,3.25,3.75,3.5,3.25,2.0
3518,9410,1,blkTestCatAAp,30,1,1400,Approach,1,648,Explicit,s.b1e8cf0b-27d4-43b6-a78f-39e5efc1ef06.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1469,R_21uD4NWBoJsqYY4,50,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,75494,Education,2FmmngfR2Q,92,2,6.0,None,2,2,2,92,3,6.0,All,5,5,5,1,4,2,2,2,2,4,4,2,3,1,4,4,2,2,2,4,4,2,2,no,no,0.6,0.975,white,male,5662.0,4688.0,5507.0,5919.0,0.0,10607.0,11169.0,0.0,566.2,520.8888888888889,550.7,591.9,0.0,558.2631578947369,558.45,0.0,2.25,3.5,1.5,4.0,2.0
3557,9510,1,blkTestCatAAp,29,1,1200,Approach,1,661,Explicit,s.079b98a2-8f56-44a3-969d-881db8b6176f.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,910,R_12KWW8Aqfgx1JbC,61,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,49024,Health care,eXbfeErWpT,72,3,5.0,4,5,5,5,72,3,6.0,5,5,5,5,2,4,3,2,5,3,3,4,2,3,3,4,4,3,4,2,3,4,2,5,No,None,0.6,0.975,white,male,6692.0,6467.0,6326.0,5693.0,0.0,12160.0,13018.0,0.0,669.2,646.7,632.6,632.5555555555555,0.0,640.0,650.9,0.0,4.25,3.75,2.5,3.5,2.25
3596,9610,1,blkTestCatAAp,46,2,1100,Avoid,1,2030,Explicit,s.f0385e3c-de3c-48da-bf57-fd262e4e660f.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1006,R_3Jga5SevYUh5tH6,55,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,32966,Other,XCt5dszYDS,91,1,5.0,2,3,2,None,91,2,5.0,4,4,4,5,2,5,4,2,3,2,4,3,2,4,2,4,4,2,3,2,4,4,4,4,no,no,0.6,0.975,black,male,10362.0,8710.0,9916.0,9744.0,0.0,18454.0,20278.0,0.0,1036.2,967.7777777777778,991.6,974.4,0.0,971.2631578947369,1013.9,0.0,3.5,3.75,2.0,4.25,2.5
3635,9710,1,blkTestCatAAp,42,1,1800,Approach,1,676,Explicit,s.5d204ee7-e762-4b51-bbb8-1d9ab6f15381.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1022,R_22S6Xjwsp3OM43z,73,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,55425,Other,DZQg6gH2cm,75,2,6.0,3,3,3,2,71,3,5.0,5,4,4,5,2,4,2,3,4,2,4,3,4,3,3,4,4,3,3,2,4,3,4,4,no,,0.6,0.975,white,female,6946.0,6446.0,6417.0,5710.0,0.0,12156.0,13363.0,0.0,694.6,644.6,641.7,634.4444444444445,0.0,639.7894736842105,668.15,0.0,3.5,3.0,2.25,4.0,3.5
3674,9810,1,blkTestCatAAp,53,2,1600,Avoid,1,1032,Explicit,s.9ccb90c6-334b-427a-8607-23871fe24697.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,973,R_30wV3A6bbuThrlw,39,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,7090,Education,vLa7uP5zb2,91,1,7.0,5,5,5,None,9,6,,5,None,None,None,5,5,4,1,5,4,4,4,2,5,4,5,5,3,5,3,4,5,3,5,No,What was the purpose of showing black and white faces and the push and pull of the images. How is this information being used for good?,0.6,0.925,black,male,6099.0,5482.0,6023.0,4550.0,0.0,10032.0,12122.0,0.0,609.9,609.1111111111111,669.2222222222222,505.55555555555554,0.0,557.3333333333334,638.0,0.0,5.0,4.5,4.0,4.5,2.25
3711,9910,1,blkTestCatAAp,27,1,2000,Approach,1,1047,Explicit,s.ec44dcea-ea11-4125-bb41-48a679eaf186.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,947,R_3Gv4i6vN21me694,34,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,43311,Other,9G9c43bhK9,10,7,1.0,None,None,None,2,37,1,6.0,All,All,All,5,1,4,2,4,1,2,1,2,3,5,2,2,4,1,3,3,3,2,2,4,No.,No.,0.6,0.975,white,male,5751.0,5054.0,5909.0,5429.0,0.0,10483.0,11660.0,0.0,575.1,505.4,590.9,603.2222222222222,0.0,551.7368421052631,583.0,0.0,3.25,2.5,2.0,2.5,2.5
3750,10010,1,blkTestCatAAp,58,2,1700,Avoid,1,2058,Explicit,s.07b8c584-2771-4c99-be34-d2aa47dc1b20.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,2768,R_1dGGH9MbPH1zdnh,56,Female,Female,Black or African American alone,Absolutely not true,Moderate,11790,Information services,McO7FPCBqk,61,4,5.0,3,3,5,5,60,4,4.0,5,5,2,3,4,3,4,2,4,5,5,5,2,4,4,5,5,3,4,5,5,5,5,5,"no, it was very clear","not really , ",0.6,1.0,black,female,13659.0,12259.0,11428.0,12979.0,0.0,25238.0,25087.0,0.0,1365.9,1225.9,1142.8,1297.9,0.0,1261.9,1254.35,0.0,4.25,4.75,4.5,4.5,3.0
3790,10110,1,blkTestCatAAp,45,1,2000,Approach,1,716,Explicit,s.c351ccc8-f21f-4c66-a765-3f77125d6f8c.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,2691,R_2cjRf3n4hjm2hpk,35,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,71220,Information services,U57vBecA73,100,1,7.0,All,3,All,All,0,5,4.0,None,5,None,None,5,5,2,2,3,3,4,5,2,5,5,4,5,3,5,5,5,5,3,5,"No, everything was clear.","No comments
",0.6,1.0,white,female,6466.0,6773.0,7426.0,8636.0,0.0,15409.0,13892.0,0.0,646.6,677.3,742.6,863.6,0.0,770.45,694.6,0.0,4.5,4.25,4.5,4.5,2.5
3830,10210,1,blkTestCatAAp,53,2,1200,Avoid,1,676,Explicit,s.004c5340-538d-4692-9e8e-9e8ca0821abd.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1124,R_21gPIfvSNyW3lZK,43,Female,Female,Black or African American alone,Absolutely not true,Moderate,32570,Health care,rTLX6tAuth,100,2,5.0,All,All,All,3,100,1,6.0,All,All,All,2,5,5,4,4,4,5,5,5,4,3,4,4,5,3,4,5,4,5,2,5,The white and black friends and family questions,NO,0.6,0.925,black,male,7002.0,11891.0,6058.0,5807.0,0.0,17698.0,13060.0,0.0,875.25,1189.1,605.8,645.2222222222222,0.0,931.4736842105264,725.5555555555555,0.0,4.0,4.75,4.75,4.5,3.25
3867,10310,1,blkTestCatAAp,43,1,1600,Approach,1,361,Explicit,s.ece900e5-a4d3-4bcc-b869-e5f51ea0f773.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,6763,R_210suinabIYGOSr,32,Male,Male,Black or African American alone,Absolutely not true,Liberal,21215,Other,5vbUemrrDm,70,5,6.0,5,5,5,None,95,1,4.0,None,None,None,None,2,4,3,2,4,4,4,4,2,4,3,4,3,2,4,3,3,4,4,4,nothing at all,it was very fun,0.6,0.825,white,female,5442.0,4327.0,5885.0,3390.0,0.0,7717.0,11327.0,0.0,680.25,540.875,588.5,484.2857142857143,0.0,514.4666666666667,629.2777777777778,0.0,4.0,3.5,3.0,3.75,2.5
3900,10410,1,blkTestCatAAp,64,2,1400,Avoid,1,824,Explicit,s.649bbfa8-6e81-4480-a94a-80b28a0bcd54.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1116,R_3JmGU7ROwbuOkXJ,47,Female,Female,Black or African American alone,Absolutely not true,Moderate,39110,Education,5Mjuu6LzdD,100,1,6.0,3,5,All,3,80,2,5.0,3,2,None,None,2,5,4,4,3,2,4,2,2,3,3,5,5,2,4,2,4,4,3,3,No,No,0.6,0.975,black,female,6126.0,6693.0,7235.0,7303.0,0.0,13996.0,13361.0,0.0,680.6666666666666,669.3,723.5,730.3,0.0,699.8,703.2105263157895,0.0,3.25,3.75,2.25,4.5,2.75
3939,10510,1,blkTestCatAAp,63,2,1900,Avoid,1,628,Explicit,s.e1aca33b-2949-45ad-a474-bf4744324858.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,2210,R_z6mfsDUrZVySukx,59,Female,Female,Black or African American alone,Absolutely not true,Liberal,37043,Other,7Kmb8x327H,100,1,7.0,5,None,5,5,92,2,6.0,2,5,5,5,4,5,5,2,5,5,2,5,4,3,4,4,5,2,5,2,2,5,5,5,EVERYTHING WAS CLEAR,NO,0.6,1.0,black,female,10779.0,11066.0,10592.0,14384.0,0.0,25450.0,21371.0,0.0,1077.9,1106.6,1059.2,1438.4,0.0,1272.5,1068.55,0.0,4.5,5.0,3.75,3.25,3.25
3979,10610,1,blkTestCatAAp,57,2,1300,Avoid,1,636,Explicit,s.6a295849-ffb6-40bd-b082-f55fa7b96507.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1134,R_yxSrKJNtYjKSEU1,60,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,46016,Other,kFcuPVQcVx,50,3,4.0,5,5,5,3,50,3,4.0,5,5,5,4,3,4,2,3,4,4,4,4,2,3,4,4,3,3,4,2,4,3,2,4,Some of the wording in the questions regarding how much I agree or disagree on issues involving my racial views.,,0.6,0.975,black,female,6862.0,7077.0,7769.0,6861.0,0.0,13938.0,14631.0,0.0,762.4444444444445,707.7,776.9,686.1,0.0,696.9,770.0526315789474,0.0,3.75,3.0,3.25,4.0,2.5
4018,10713,1,blkTestCatAAp,64,2,1600,Avoid,1,1816,Explicit,s.e6b1d1b3-1590-4522-b050-e67dff11b79b.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1380,R_3KUhBbfaQmiUE9w,76,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,18337,Other,yXCQyTJWJ4,61,1,7.0,2,3,2,None,60,3,5.0,5,4,5,All,1,3,4,1,3,1,4,5,1,2,3,4,5,2,3,3,5,5,1,5,no,No,0.6,0.9,black,female,6959.0,8778.0,7724.0,12216.0,0.0,20994.0,14683.0,0.0,773.2222222222222,1097.25,858.2222222222222,1221.6,0.0,1166.3333333333333,815.7222222222222,0.0,3.25,4.75,2.0,4.0,1.25
4054,10810,1,blkTestCatAAp,42,1,1500,Approach,1,1421,Explicit,s.7c49c814-d966-41a7-8ddf-056433d090ad.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,977,R_741a6XRIscS7KBH,70,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,12206,Other,5hFhvRwQeS,90,1,7.0,5,5,4,2,90,1,7.0,5,5,5,All,2,5,5,1,2,2,4,4,2,4,2,4,4,2,4,2,4,4,4,4,No,Very interesting,0.6,0.875,white,female,6981.0,6138.0,7427.0,5251.0,0.0,11389.0,14408.0,0.0,698.1,682.0,928.375,656.375,0.0,669.9411764705883,800.4444444444445,0.0,3.5,4.25,2.0,4.25,2.25
4089,10910,1,blkTestCatAAp,42,1,1700,Approach,1,644,Explicit,s.a7905498-221d-4e05-a4e9-055707666dce.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,871,R_1F57kraKcMp8YeA,70,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,91106,Education,cGeA8UhbkS,70,4,4.0,4,4,4,4,82,4,4.0,4,3,4,5,3,4,5,2,5,3,3,3,3,5,5,4,5,1,5,4,3,5,2,5,No,It appears to be fairly superficial. Not well-designed.,0.6,1.0,white,female,10825.0,10155.0,8575.0,10683.0,0.0,20838.0,19400.0,0.0,1082.5,1015.5,857.5,1068.3,0.0,1041.9,970.0,0.0,5.0,4.5,3.75,3.5,2.0
4129,11010,1,blkTestCatAAp,58,2,1600,Avoid,1,729,Explicit,s.57be9765-87d7-4521-99ff-4ea6d4f082a8.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1265,R_1dmhEfqssxy81FT,76,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,24201,Other,EKOkkNnR2Y,90,1,7.0,None,4,None,None,90,1,7.0,All,3,All,All,1,4,3,1,5,3,3,4,1,3,4,4,4,1,5,4,4,4,2,5,Nothing ,None,0.6,0.975,black,female,7132.0,6593.0,7223.0,7449.0,0.0,14042.0,14355.0,0.0,792.4444444444445,659.3,722.3,744.9,0.0,702.1,755.5263157894736,0.0,4.5,3.75,3.0,3.75,1.25
4168,11110,1,blkTestCatAAp,28,1,1600,Approach,1,565,Explicit,s.9724980b-e406-4504-83b0-3528ae9775f3.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1412,R_1dbkoarzaTqxjr0,57,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,79904,Prefer not to say,UX9BmyqpXq,13,6,3.0,2,2,2,None,80,2,6.0,5,5,5,5,2,3,4,2,3,2,2,5,2,4,3,4,5,2,4,2,2,5,3,3,"the directions were odd and poorly explained, yet understandable",,0.6,1.0,white,male,4899.0,5207.0,4771.0,4609.0,0.0,9816.0,9670.0,0.0,489.9,520.7,477.1,460.9,0.0,490.8,483.5,0.0,3.5,4.75,2.25,2.75,2.25
4208,11210,1,blkTestCatAAp,61,2,1400,Avoid,1,643,Explicit,s.b90a5660-d9aa-4048-b03d-1984b40f1f40.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,714,R_2cwrRA8FZuowAJg,38,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,91942,Entertainment,q9L3TxjCZy,33,5,4.0,3,3,2,None,70,4,4.0,All,All,All,4,2,4,3,2,5,2,4,3,2,4,2,4,4,2,4,2,4,2,2,4,"No, nothing was unclear.",This was weird but I get these are the times!,0.6,1.0,black,female,6465.0,5872.0,6899.0,6138.0,0.0,12010.0,13364.0,0.0,646.5,587.2,689.9,613.8,0.0,600.5,668.2,0.0,4.25,3.0,2.0,4.0,2.0
4248,11310,1,blkTestCatAAp,30,1,800,Approach,1,725,Explicit,s.ba6c09a5-f7ce-4b65-9bb2-d0d0b7c6fbb9.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,842,R_2dFtK8gBVN6AqvY,46,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,34434,Information services,SRQs3ArLaZ,87,2,6.0,None,4,2,None,81,3,5.0,All,4,4,All,3,5,5,1,4,4,5,5,3,5,2,4,4,3,5,3,5,5,3,5,nothing was unclear,nothing to add,0.6,0.95,white,male,5875.0,5809.0,6664.0,6614.0,0.0,12423.0,12539.0,0.0,652.7777777777778,645.4444444444445,666.4,661.4,0.0,653.8421052631579,659.9473684210526,0.0,4.75,4.75,3.0,4.75,2.5
4286,11410,1,blkTestCatAAp,37,1,1100,Approach,1,488,Explicit,s.68f39090-51d6-498d-9a8d-3ba0ba5913e4.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,845,R_2cbVKwXSjQCSjo2,36,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,33770,Other,QhxSbbCsZM,50,2,5.0,None,None,None,None,71,4,6.0,All,All,All,All,4,4,4,2,4,3,3,4,2,3,2,4,4,2,3,4,4,4,4,4,no,no,0.6,0.975,white,female,4728.0,4214.0,4759.0,4238.0,0.0,8452.0,9487.0,0.0,472.8,421.4,475.9,470.8888888888889,0.0,444.8421052631579,474.35,0.0,3.5,4.0,3.25,3.75,2.5
4325,11510,1,blkTestCatAAp,29,1,1100,Approach,1,572,Explicit,s.8548fdce-8702-4548-93bb-f17d12f21ae9.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1131,R_25SMXfq1djmTyb6,46,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,93701,Information services,mc2L7TX4Mr,63,3,5.0,None,2,None,None,87,2,6.0,5,4,All,All,3,4,4,2,4,4,4,4,2,4,3,4,4,2,3,2,4,3,2,4,No,Unique survey,0.6,1.0,white,male,6593.0,6426.0,5768.0,7319.0,0.0,13745.0,12361.0,0.0,659.3,642.6,576.8,731.9,0.0,687.25,618.05,0.0,3.75,3.75,3.0,4.0,2.0
4365,11610,1,blkTestCatAAp,35,1,2000,Approach,1,593,Explicit,s.ffaad6b9-c3de-4f01-8eac-6532776edc4c.txt,Faces_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,972,R_2CV98i8XaNj7BXL,43,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,79414,Other,SRMEyCY6yS,40,2,6.0,All,All,4,None,70,2,6.0,All,All,All,5,2,4,5,1,4,2,2,5,2,4,3,4,5,1,5,2,2,4,1,5,"I did not find anything unclear. I assume there was a subliminal element with the faces and the red and blue dots. I did miss two answers, one in the first and one in the second. ",I have no additional comments. ,0.6,0.975,white,male,5975.0,6341.0,5658.0,6237.0,0.0,12578.0,11633.0,0.0,597.5,634.1,628.6666666666666,623.7,0.0,628.9,612.2631578947369,0.0,4.5,4.75,2.25,3.0,1.25
