,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
3135,8111,1,blkTestCatAAp,37,2,1500,Approach,1,556,Implicit,s.652e18db-2713-41b6-b68a-96e1d411b232.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,855,R_Z3L3uZXuaOTExeF,22,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,35205,Entertainment,hH4SZUcD4a,40,6,,4,4,4,None,100,2,6.0,All,All,All,All,3,4,4,5,4,4,5,2,3,5,5,5,4,3,3,3,2,2,4,3,No.,I am curious how the color game correlates to these questions!,yes,0.975,white,female,6159.0,7682.0,5641.0,6993.0,6834.0,6253.0,4966.0,8422.0,615.9,768.2,626.7777777777778,699.3,683.4,625.3,551.7777777777778,842.2,3.75,3.0,3.75,4.0,3.75
3174,8210,1,blkTestCatAAp,29,2,1300,Approach,1,982,Implicit,s.1d8f7e6c-1117-4dd1-b41a-3672c11e75dc.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,759,R_2qrdhnz6yA5vjiL,29,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,91406,Hotel services,Rnfn9SafuC,100,1,7.0,3,4,2,None,80,5,5.0,3,4,4,None,3,5,5,2,4,4,4,4,1,4,4,4,3,2,4,4,4,4,4,4,No,No,yes,1.0,white,male,7551.0,5805.0,6648.0,7586.0,6766.0,7075.0,7433.0,6316.0,755.1,580.5,664.8,758.6,676.6,707.5,743.3,631.6,4.0,4.0,3.75,4.25,2.25
3214,8310,1,blkTestCatAAp,48,1,1800,Avoid,1,584,Implicit,s.21b0179b-0310-4eb3-87c4-e49ba5c559ab.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,835,R_1itAdzxvJI1ns9X,66,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,60188,Other,jfYDx72qMr,66,4,4.0,None,4,3,2,81,4,4.0,5,5,4,All,2,4,3,1,4,3,2,4,2,3,4,2,4,3,3,2,3,4,2,5,no,none,yes,1.0,black,male,7375.0,8353.0,6607.0,8499.0,7265.0,9132.0,6717.0,7720.0,737.5,835.3,660.7,849.9,726.5,913.2,671.7,772.0,3.75,3.75,2.75,2.75,2.0
3254,8410,1,blkTestCatAAp,31,2,1700,Approach,1,761,Implicit,s.be0b86f8-f2f3-4ca9-b192-29c60872dc72.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,3615,R_aeIKu64VQsHsTsd,30,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,43232,Food services,yukMOKgPT4,40,6,5.0,5,4,3,2,79,6,5.0,5,2,3,None,2,4,5,4,3,3,5,4,2,3,5,3,2,4,3,2,3,4,4,5,Nothing really,Nope,yes,0.85,white,male,7924.0,4641.0,7753.0,5689.0,8517.0,5785.0,7160.0,4545.0,990.5,580.125,969.125,568.9,946.3333333333334,642.7777777777778,1022.8571428571429,505.0,3.5,3.75,3.0,3.75,3.5
3288,8510,1,blkTestCatAAp,64,1,1800,Avoid,1,654,Implicit,s.6ebd0154-d3ce-4e9b-95d3-af9bfc04f3ef.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1091,R_3KDUfsjIwgxRAxg,39,Male,Male,Black or African American alone,Absolutely not true,Moderate,30720,Other,LnCPvPy2tg,38,2,3.0,None,2,4,None,50,5,4.0,5,5,2,2,4,3,5,3,5,3,3,5,1,4,4,2,2,3,3,3,3,4,3,5,Nope...  I think they were nice straight to the point questions.,Nope,yes,1.0,black,female,10305.0,8876.0,8141.0,9722.0,8218.0,10502.0,10228.0,8096.0,1030.5,887.6,814.1,972.2,821.8,1050.2,1022.8,809.6,4.25,4.0,3.5,2.75,2.5
3328,8610,1,blkTestCatAAp,47,2,1600,Approach,1,1447,Implicit,s.e1b601a4-e04b-4062-ad8f-966b9f87b294.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1223,R_8B1msrV4YiZ1G1j,42,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,28501,Other,fv43sXA3gQ,90,2,7.0,4,None,3,None,100,1,5.0,2,None,None,None,4,4,4,1,3,2,2,4,2,3,2,4,5,2,4,2,4,4,4,4,Nothing was unclear during this study.,No.,yes,1.0,black,male,6996.0,8452.0,7626.0,8261.0,8255.0,7849.0,6367.0,8864.0,699.6,845.2,762.6,826.1,825.5,784.9,636.7,886.4,3.5,4.25,2.5,3.5,2.25
3368,8710,1,blkTestCatAAp,42,1,1400,Avoid,1,552,Implicit,s.bd27a61a-cb63-4e05-a594-fccf0adfbd87.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,904,R_2TGllaLxzIxEN3W,42,Male,Male,Black or African American alone,Absolutely not true,Liberal,75013,Other,WAqb5ddFVJ,81,1,6.0,4,4,3,3,71,2,5.0,4,3,3,3,2,4,3,4,4,2,3,4,4,3,3,4,2,4,4,2,3,3,4,4,NO,NO,yes,0.975,white,female,5997.0,6993.0,6490.0,5806.0,6079.0,6676.0,6408.0,6123.0,599.7,699.3,649.0,645.1111111111111,607.9,741.7777777777778,640.8,612.3,3.75,3.0,2.25,3.5,4.0
3407,8810,1,blkTestCatAAp,62,1,900,Avoid,1,363,Implicit,s.6b3bb0a2-d57b-4322-a9de-5eca3065145f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1177,R_tVxGoLhn9fLgS9H,45,Male,Male,Black or African American alone,Absolutely not true,Slightly conservative,28139,Military,6mHryLuXQM,73,5,7.0,All,5,5,4,68,5,5.0,4,5,All,All,4,5,5,4,4,2,2,1,1,1,5,4,4,4,1,2,2,2,1,1,no it was to me,none,yes,0.525,black,female,857.0,1664.0,433.0,1641.0,1221.0,2165.0,69.0,1140.0,214.25,237.71428571428572,108.25,273.5,174.42857142857142,309.2857142857143,69.0,190.0,1.75,3.0,3.25,3.25,2.5
3428,8910,1,blkTestCatAAp,58,1,1100,Avoid,1,372,Implicit,s.c3f60df3-6849-457c-9692-e2f501345d81.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,761,R_tFIWR4gOPvV52Kd,27,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,41230,Other,yZA4XTfRXJ,100,2,6.0,2,4,2,None,100,2,6.0,5,5,4,None,2,4,3,3,2,2,4,4,4,4,2,4,4,2,4,2,2,4,4,2,Yes the wording on a few questions about neighbors was extremely hard to understand at first glance.,nope.,yes,0.95,black,female,3520.0,3761.0,2877.0,3507.0,2874.0,3628.0,3523.0,3640.0,391.1111111111111,376.1,319.6666666666667,350.7,359.25,362.8,352.3,364.0,3.0,3.75,2.0,3.5,3.25
3466,9010,1,blkTestCatAAp,53,2,1900,Approach,1,723,Implicit,s.51a595de-7ba9-4251-ad97-7a4d3410103b.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,943,R_2YM2G3D9QVPupVr,25,Transgender Male,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,75002,Other,LgBTp5MOhe,100,2,6.0,2,4,5,2,50,4,4.0,All,All,5,3,1,5,1,4,5,1,5,1,5,5,1,4,3,4,5,2,5,2,5,5,,,yes,0.925,black,male,6562.0,5758.0,5289.0,5794.0,6881.0,4322.0,4970.0,7230.0,729.1111111111111,639.7777777777778,528.9,643.7777777777778,688.1,540.25,552.2222222222222,723.0,5.0,1.75,1.25,4.75,4.5
3503,9110,1,blkTestCatAAp,32,1,1200,Avoid,1,1138,Implicit,s.5401f802-b978-4036-bc24-0edea5eab13d.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1826,R_12x1jfVZTuiXiD0,68,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,19468,Other,SZzhjx2ZP8,100,1,7.0,2,None,5,2,80,2,6.0,5,4,2,3,1,5,4,1,3,3,2,5,1,2,3,4,4,1,3,3,5,5,2,5,"No, everything was clear.",No,yes,1.0,white,male,8069.0,8686.0,8643.0,9070.0,8831.0,9027.0,7881.0,8729.0,806.9,868.6,864.3,907.0,883.1,902.7,788.1,872.9,3.25,4.5,2.5,4.0,1.25
3543,9211,1,blkTestCatAAp,58,1,1500,Avoid,1,324,Implicit,s.1cb14c40-5375-4cd3-80f8-003e355c6ff6.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,777,R_3EFOvrMEDZci5wj,20,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,33319,Other,tMy9vvVZN3,34,4,3.0,4,4,4,3,37,3,2.0,3,3,3,None,1,3,4,4,4,1,3,2,5,4,1,2,4,5,2,1,2,2,5,3,No,Nope,yes,0.95,black,female,5657.0,6161.0,5720.0,5539.0,5667.0,6217.0,5710.0,5483.0,628.5555555555555,616.1,635.5555555555555,553.9,629.6666666666666,621.7,634.4444444444445,548.3,3.25,3.0,1.0,2.5,4.75
3581,9310,1,blkTestCatAAp,60,1,1500,Avoid,1,1001,Implicit,s.378d12a3-66fc-4812-866a-94754c26b946.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1082,R_2wETTaUAeEeOreA,32,Male,Male,Black or African American alone,Absolutely not true,Liberal,29418,Other,BmFgNj9w3M,100,2,7.0,5,5,5,None,40,3,5.0,None,None,None,None,3,5,4,2,5,2,2,4,1,3,2,4,5,2,4,3,2,5,4,5,I don't know the purpose of this study but I am curious to know.,"Yes, I would like to see the results of of this study for me. I want to know what my answers revealed and what those findings will be used to accomplish?",yes,1.0,black,female,7215.0,8740.0,7502.0,7556.0,7300.0,8122.0,7417.0,8174.0,721.5,874.0,750.2,755.6,730.0,812.2,741.7,817.4,4.25,4.5,2.5,3.25,2.25
3621,9410,1,blkTestCatAAp,46,1,800,Avoid,1,834,Implicit,s.ed321a66-593e-4905-baa2-7ce88e344ee4.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,955,R_3PZtHWLspDFSW5r,59,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,35063,Other,MUmbLdSBYB,100,1,5.0,None,None,5,None,100,2,6.0,All,3,All,All,3,5,4,1,1,3,5,4,2,1,2,2,3,2,4,2,5,5,3,5,no,no,yes,0.975,black,male,6413.0,11651.0,5776.0,6703.0,6109.0,5947.0,6080.0,12407.0,641.3,1294.5555555555557,577.6,670.3,610.9,660.7777777777778,608.0,1240.7,2.75,4.0,2.5,4.25,2.0
3660,9510,1,blkTestCatAAp,53,2,1000,Approach,1,1764,Implicit,s.e6a22442-4c59-4764-8d6e-a94aff2be235.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1337,R_AyApzuz9hUHyunn,68,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,91741,Information services,hUEEMYBJDp,71,1,6.0,2,3,3,3,92,1,6.0,5,4,5,5,2,4,4,1,2,2,4,4,2,5,2,3,4,1,5,3,2,4,5,4,"No, easily understood",No,yes,0.95,black,male,11436.0,11061.0,9378.0,12636.0,10268.0,12341.0,10546.0,11356.0,1143.6,1229.0,1042.0,1263.6,1140.888888888889,1234.1,1054.6,1261.7777777777778,4.0,4.0,2.25,3.25,2.25
3698,9613,1,blkTestCatAAp,37,2,900,Approach,1,1197,Implicit,s.6afbf4ee-4641-4f98-873f-9315913a9aef.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1426,R_1MlAvGMlffwwsI9,87,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,21030,Other,pQMR7snqju,55,3,5.0,All,4,All,3,62,2,4.0,3,3,3,3,3,4,2,4,4,4,2,3,4,5,2,2,4,4,4,3,2,3,3,4,no,no,yes,0.9,white,female,10038.0,10142.0,10648.0,10602.0,10420.0,10573.0,10266.0,10171.0,1254.75,1126.888888888889,1183.111111111111,1060.2,1157.7777777777778,1057.3,1283.25,1130.111111111111,4.25,3.0,3.0,2.5,3.75
3734,9710,1,blkTestCatAAp,59,2,1300,Approach,1,536,Implicit,s.2e05f7c6-635b-4e88-8dec-ffc6501173ee.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,881,R_1goomu8jyrwZFiJ,66,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,92545,Other,pbp92zDT9c,50,2,6.0,2,None,None,None,60,5,5.0,All,All,All,All,1,4,4,4,4,3,4,5,2,3,2,4,4,4,3,2,4,4,3,4,No - everything seemed very clear,I enjoyed this survey/study.  Thank you for allowing me to participate.,yes,1.0,black,female,5970.0,6964.0,7410.0,5771.0,6612.0,5949.0,6768.0,6786.0,597.0,696.4,741.0,577.1,661.2,594.9,676.8,678.6,3.5,4.25,2.0,4.0,3.25
3774,9810,1,blkTestCatAAp,35,2,1300,Approach,1,510,Implicit,s.570afb52-0a49-4c19-861c-8e9d5b804324.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,966,R_21AGC5nzL0ApVZw,67,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,31329,Other,FK8ppDGjhc,75,2,6.0,None,2,2,None,50,5,6.0,All,All,5,All,2,5,5,2,5,4,4,4,3,4,3,4,4,3,4,3,4,4,3,4,No,No,yes,0.975,white,male,5865.0,5985.0,5364.0,5092.0,5973.0,5826.0,5256.0,5251.0,586.5,598.5,536.4,565.7777777777778,597.3,582.6,525.6,583.4444444444445,4.25,4.25,3.0,4.25,2.75
3813,9910,1,blkTestCatAAp,37,2,1400,Approach,1,849,Implicit,s.b12475de-000e-4067-94fa-fb9108a8697e.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,981,R_1IL4lMtNuiRIkXn,59,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,92270,Other,cYGEnGJ32Y,83,2,6.0,4,5,4,3,83,2,5.0,4,5,5,5,2,5,3,4,4,2,4,5,4,5,3,5,4,4,5,4,4,5,3,4,The in-group sections were confusing,,yes,0.125,white,female,0.0,702.0,1549.0,1451.0,700.0,0.0,849.0,2153.0,0.0,702.0,774.5,725.5,700.0,0.0,849.0,717.6666666666666,4.5,4.25,2.75,4.5,3.75
3818,10010,1,blkTestCatAAp,52,1,1800,Avoid,1,370,Implicit,s.2179299a-4275-447c-be24-72dc4333e23c.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,689,R_RnaWQBOUG1IY40N,30,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,45601,Education,7U4h5vcZpn,81,3,6.0,None,3,4,2,62,4,4.0,All,4,4,3,5,4,2,4,4,5,4,2,2,4,5,4,2,3,4,4,4,3,4,4,no,no,yes,0.85,black,male,4361.0,4168.0,3614.0,3392.0,4744.0,2829.0,3231.0,4731.0,484.55555555555554,416.8,451.75,484.57142857142856,474.4,404.14285714285717,461.57142857142856,473.1,4.0,2.25,4.75,4.0,3.25
3852,10160,1,blkTestCatAAp,37,1,1500,Avoid,1,585,Explicit,s.259c2b89-85e6-4fb8-8d7e-8aa5c4dc401d.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1711,R_3J9ObdzKdmouVqB,47,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,77503,Other,GSjFs7mAQ3,59,1,4.0,2,3,3,None,33,5,2.0,5,5,All,All,2,4,4,3,4,2,3,4,2,3,4,3,4,2,4,2,2,4,2,4,,,,0.975,white,female,6823.0,7653.0,7571.0,8794.0,14394.0,0.0,0.0,16447.0,758.1111111111111,765.3,757.1,879.4,757.578947368421,0.0,0.0,822.35,3.75,4.0,2.5,3.0,2.25
3891,10260,1,blkTestCatAAp,28,1,1400,Avoid,1,5887,Explicit,s.bbb09313-0a80-4d3d-b072-f34c7aec6cfb.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1384,R_2ZJi2ait39k9jLz,73,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,37804,Other,uLJnzhFAaw,96,1,7.0,None,4,3,None,100,1,6.0,All,3,5,All,3,5,4,2,4,3,4,4,2,4,3,4,5,2,4,2,4,4,2,4,in the beginning I misunderstood The U and M to identify Black and White,very interesting survey.,,0.85,white,male,16744.0,13266.0,13503.0,19565.0,30247.0,0.0,0.0,32831.0,1860.4444444444443,2653.2,1350.3,1956.5,1591.9473684210527,0.0,0.0,2188.733333333333,4.0,4.25,2.75,4.25,2.0
3925,10360,1,blkTestCatAAp,45,1,1000,Avoid,1,544,Explicit,s.5eb1522b-9a62-43f8-bf80-cdb5f87dfb27.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,766,R_1jU2S8kNzJsdE2U,63,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,37075,Food services,zTT222Fjdw,75,2,5.0,2,3,2,None,72,2,6.0,5,5,5,5,2,4,5,2,4,3,4,4,2,3,4,4,4,2,3,3,4,4,2,2,not at all,all good,,0.95,white,female,5865.0,6846.0,6907.0,7150.0,12772.0,0.0,0.0,13996.0,651.6666666666666,760.6666666666666,690.7,715.0,672.2105263157895,0.0,0.0,736.6315789473684,3.0,4.25,3.0,4.0,2.0
3963,10460,1,blkTestCatAAp,61,2,1200,Approach,1,1367,Explicit,s.808b25e0-9fda-440c-b36c-cf43acbbfdab.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1787,R_3qHIf1XVecilae2,64,Female,Female,Black or African American alone,Absolutely not true,Liberal,36701,Other,WxxCZePEf5,95,1,6.0,All,All,All,All,72,1,5.0,None,None,None,None,2,5,4,1,2,1,5,4,2,4,1,3,4,2,3,2,5,4,3,2,The statement/question where you needed to exclude from group 1 and group 2.,,,0.9,black,female,7045.0,10568.0,12789.0,11305.0,19834.0,0.0,0.0,21873.0,1174.1666666666667,1056.8,1278.9,1130.5,1239.625,0.0,0.0,1093.65,2.75,4.0,1.5,4.5,2.0
3999,10560,1,blkTestCatAAp,35,1,1300,Avoid,1,1487,Explicit,s.ded0c2c8-a33c-47b0-ae3b-ba3417f829fc.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1479,R_1gdXt3244YvLxGV,38,Male,Male,Black or African American alone,Absolutely not true,Strongly conservative,60430,Finance,7BPzasNNUD,99,1,7.0,4,4,4,4,100,1,7.0,4,4,4,4,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,no,great study. ,,0.875,white,male,6890.0,6957.0,6233.0,5446.0,13123.0,0.0,0.0,12403.0,689.0,773.0,692.5555555555555,778.0,690.6842105263158,0.0,0.0,775.1875,5.0,5.0,5.0,5.0,1.0
4034,10660,1,blkTestCatAAp,53,2,1100,Approach,1,1338,Explicit,s.b4d241b2-2081-4576-acd1-8d1ed74690d4.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1458,R_Okzhp2z3lEEbuJX,61,Female,Female,Black or African American alone,Absolutely not true,Moderate,48223,Other,KGmafBPMNn,100,2,7.0,4,4,All,All,90,1,7.0,4,5,2,None,5,5,2,2,4,4,2,5,3,3,5,5,4,2,4,3,4,5,1,5,No,It was fun.,,0.9,black,male,12492.0,11414.0,11726.0,10127.0,24218.0,0.0,0.0,21541.0,1561.5,1141.4,1172.6,1265.875,1345.4444444444443,0.0,0.0,1196.7222222222222,4.0,4.0,4.25,4.0,2.0
4070,10760,1,blkTestCatAAp,58,2,1200,Approach,1,622,Explicit,s.dc3137ba-5860-4c30-b486-ad4d7cdeb75a.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,910,R_3n1S5I2IrFn8cdS,35,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,20785,Other,wZMbhfUVsS,70,3,6.0,All,5,All,5,50,4,4.0,2,4,3,2,2,4,2,2,4,3,3,3,3,4,3,4,3,2,4,3,4,4,3,4,No,No,,0.95,black,female,5589.0,6422.0,6920.0,6754.0,12509.0,0.0,0.0,13176.0,621.0,713.5555555555555,692.0,675.4,658.3684210526316,0.0,0.0,693.4736842105264,4.0,3.0,2.75,3.75,2.5
4108,10860,1,blkTestCatAAp,61,2,800,Approach,1,1522,Explicit,s.4827b6ca-0a10-4ab2-a741-d16123df5505.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1402,R_3OleYxUohKHG53q,69,Male,Male,Black or African American alone,Absolutely not true,Conservative,75454,Other,Xj6GP54Rpe,51,2,5.0,3,3,3,3,60,4,4.0,3,3,2,3,3,4,4,3,5,2,3,5,3,3,2,3,5,4,3,3,3,5,5,4,No,No,,0.9,black,female,13073.0,12035.0,10577.0,12063.0,23650.0,0.0,0.0,24098.0,1634.125,1203.5,1175.2222222222222,1340.3333333333333,1391.1764705882354,0.0,0.0,1268.3157894736842,3.75,4.75,2.5,3.25,3.75
4144,10960,1,blkTestCatAAp,31,1,1900,Avoid,1,3039,Explicit,s.ecd63ceb-eceb-460f-b20a-f7e55008bb5e.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1617,R_3Kryh8IooZAX8i8,64,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,36037,Other,jBJHDdMZ6x,100,3,7.0,All,All,All,All,100,3,7.0,None,All,All,All,2,5,2,4,5,5,5,2,2,4,4,5,5,2,4,5,5,3,2,5,no,It appears that you are interested in race relations,,0.825,white,male,11066.0,15101.0,13603.0,8659.0,24669.0,0.0,0.0,23760.0,1383.25,1510.1,1511.4444444444443,1443.1666666666667,1451.1176470588234,0.0,0.0,1485.0,4.5,3.0,4.0,5.0,2.5
4177,11060,1,blkTestCatAAp,48,2,1300,Approach,1,1704,Explicit,s.13f511ba-ec3b-4e42-8e5a-08179b1fe19d.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,956,R_2ttZChCc7QuIFap,39,Female,Female,Black or African American alone,Absolutely not true,Moderate,77067,Other,NhmtH63LhS,80,1,5.0,5,5,5,5,80,1,5.0,3,5,2,None,5,2,4,5,3,3,2,3,4,4,3,1,4,1,4,5,3,5,2,4,No.,No.,,0.875,black,male,7949.0,7121.0,7023.0,7719.0,14972.0,0.0,0.0,14840.0,794.9,890.125,702.3,1102.7142857142858,748.6,0.0,0.0,989.3333333333334,3.75,4.0,4.0,2.0,3.0
4212,11160,1,blkTestCatAAp,35,1,1100,Avoid,1,1342,Explicit,s.2a77baeb-78c8-462a-bde4-dd15366ee570.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1253,R_Y5G4ehsNMx2verT,61,Male,Male,Black or African American alone,Absolutely not true,Conservative,93612,Other,3COacduCjP,71,4,5.0,None,None,2,None,40,3,5.0,3,4,2,5,1,4,4,2,5,5,2,3,2,4,1,3,4,2,5,2,3,4,2,5,"Not really, though I did find the study interesting.","No additional comments, but I would be interested in the results.",,0.95,white,male,7786.0,9080.0,10203.0,9523.0,17989.0,0.0,0.0,18603.0,973.25,908.0,1020.3,952.3,999.3888888888889,0.0,0.0,930.15,4.75,3.75,2.25,3.0,2.0
4250,11260,1,blkTestCatAAp,63,2,1800,Approach,1,758,Explicit,s.32fc441e-5e0f-44e1-b6ca-19d7ec4f9cb5.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,996,R_2AEWaz1wtqnAqYJ,40,Female,Female,Black or African American alone,Absolutely not true,Moderate,48197,Other,JPbXvSf8Lb,100,2,7.0,All,All,All,All,51,4,4.0,4,5,4,None,2,5,5,5,3,2,5,5,5,3,2,5,5,3,3,2,3,4,4,3,no,no,,0.875,black,female,10054.0,6004.0,8586.0,6152.0,18640.0,0.0,0.0,12156.0,1005.4,857.7142857142857,858.6,769.0,932.0,0.0,0.0,810.4,3.0,4.75,2.0,4.5,4.25
4285,11360,1,blkTestCatAAp,64,2,1000,Approach,1,884,Explicit,s.5d85a9b8-4307-4863-8a69-c59ffcda888e.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,2636,R_VLuVzXh0RHiSjAJ,44,Female,Female,Black or African American alone,Absolutely not true,Moderate,23231,Other,V3qcx6EvWm,95,2,6.0,All,All,All,5,70,3,5.0,4,All,3,2,3,5,4,2,5,5,4,5,2,5,3,5,5,1,5,1,5,5,2,5,"No, everything was clear.","No, thank you.",,0.875,black,female,6444.0,6764.0,7915.0,6726.0,14359.0,0.0,0.0,13490.0,716.0,845.5,791.5,840.75,755.7368421052631,0.0,0.0,843.125,5.0,4.75,3.0,4.75,1.75
4320,11461,1,blkTestCatAAp,35,1,1800,Avoid,1,1054,Explicit,s.b424c332-7796-41ec-85e8-8c00b91ca785.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,1402,R_exQMes1a8taX55f,41,Female,Female,Black or African American alone,Absolutely not true,Moderate,33545,Finance,SCx5CfAu2T,59,4,5.0,5,5,5,5,62,6,5.0,5,5,3,3,3,4,4,2,4,2,3,4,4,3,4,4,4,2,4,4,4,4,4,4,"non, all were perfectly clear.",Not at all.,,0.85,white,male,8049.0,11120.0,12453.0,9751.0,20502.0,0.0,0.0,20871.0,1341.5,1112.0,1245.3,1218.875,1281.375,0.0,0.0,1159.5,3.75,4.0,3.25,3.75,3.0
4354,11560,1,blkTestCatAAp,27,1,1100,Avoid,1,1646,Explicit,s.534cbffa-8db1-4c26-9414-101f787987ab.txt,Names_ExplicitApproachBlackWhite,Dr.Dre,Dr.Dre2,741,R_qxQo1LI4U9A0X61,34,Female,Female,Black or African American alone,Absolutely not true,Moderate,33615,Other,ORFXLHfdvd,75,2,6.0,4,4,4,4,93,1,7.0,5,5,5,5,3,4,4,4,4,2,2,4,2,2,2,4,4,3,4,2,2,5,4,4,Nothing unclear. ,Thank you for the opportunity to participate ,,0.8,white,male,38555.0,14673.0,9541.0,9262.0,48096.0,0.0,0.0,23935.0,7711.0,1630.3333333333333,1192.625,926.2,3699.6923076923076,0.0,0.0,1259.7368421052631,3.5,4.25,2.25,3.0,3.25
